title,year,rated,runtime,genre,director,writer,actors,plot,language,country,awards,imdb_rating,imdb_votes,imdb_id,metascore
"Scotland: Monsters, Men, and The Mac",2015,TV-PG,42 min,Reality-TV,N/A,N/A,Jack Maxwell,"Jack travels to Scotland, where he encounters golfs birth place (...and of course, St. Andrews' 19th hole); battles with part-time Vikings; and enjoys the world's most expensive scotch.",N/A,N/A,N/A,N/A,11,tt5065978,N/A
Hawaiian Crush,2015,TV-PG,42 min,Reality-TV,N/A,N/A,Jack Maxwell,Jack explores the beautiful Hawaiian Islands while sampling daiquiris in a 'jurassic park'; discovers courage on the sunny slope; and is swept away with an incredible pineapple home-brew.,N/A,N/A,N/A,N/A,10,tt5065986,N/A
Texas is Full of It,2015,TV-PG,42 min,Reality-TV,N/A,N/A,Jack Maxwell,Jack hits Texas in a big way and discovers drive-thru margarita bars; plays honky-tonk bingo; indulges in bloody beers and the pass of death.,N/A,N/A,N/A,N/A,9,tt5065992,N/A
Philippines: Inuman Nature,2015,TV-PG,42 min,Reality-TV,N/A,N/A,Jack Maxwell,"Jack drinks the rice wine of a reclusive native tribe in the Philippines; travels top-side of a packed bus; discovers a popular coconut moonshine, and bubble gum liquor.",N/A,N/A,N/A,N/A,9,tt5065998,N/A
New Zealand,2015,TV-PG,42 min,Reality-TV,N/A,N/A,Jack Maxwell,"Jack visits Middle Earth for a pint, has a Maori Gin drink and eats a live grub. He drinks a spunky stag semen stout, meets a moonshine scientist, tries a sedative drink named Kava and drinks beer with a Rugby legend.",N/A,N/A,N/A,7.6,8,tt5066000,N/A
Argentina,2015,TV-PG,42 min,Reality-TV,N/A,N/A,Jack Maxwell,"Jack snowshoes for piping hot panocha in the Andes; learns to cuddle horses on the Pampas; drinks Milled Wine in Patagonia, and learns it takes more than two drinks to tango in Buenos Aires.",N/A,N/A,N/A,N/A,9,tt5066002,N/A
"Savannah, GA",2015,TV-PG,42 min,Reality-TV,N/A,N/A,N/A,"Jack cools off in Savannah, GA, with some scurvy-preventing pirate grog, the infamous Chatham Artillery Punch and some Daufuskie Island moonshine.",N/A,N/A,N/A,N/A,8,tt5066006,N/A
Guatemala,2015,TV-PG,42 min,Reality-TV,N/A,N/A,N/A,"Jack sips Mezcal, encounters an ancient drink called Boj and undergoes a cleansing ritual in Guatemala.",N/A,N/A,N/A,N/A,8,tt5066010,N/A
Hong Kong,2015,TV-PG,42 min,Reality-TV,N/A,N/A,Jack Maxwell,"Jack competes in a dragon boat race; learns 'drunken' kung fu; and tops it off with a nice ""Cobra-net"" Sauvignon in Hong Kong.",N/A,N/A,N/A,N/A,9,tt5066014,N/A
Choice. Regret.,2017,N/A,9 min,"Short, Drama",Christopher Schönning,Christopher Schönning,"Lukas Loughran, Jaimie Rivers, Michaela Longden",We all have Choice. We all have Regret. Christian's Choice turned to an avalanche of Regret.,English,United Kingdom,7 wins,7.5,7,tt5066034,N/A
The Uninvited,2016,TV-14,43 min,Drama,Kimberly Peirce,"David Hudgins, Tom Mularz, Hayley Tyler","David Lyons, Michael Raymond-James, Larenz Tate",Jackson faces a series of threats from old enemies that go back to Quitman. Terry is hellbent on finding out who killed Darryl. Jessie learns what really happened at Quitman.,English,United States,N/A,N/A,108,tt5066036,N/A
Pelottomat,2015,N/A,40 min,"Crime, Drama",Joona Tena,Timo Varpio,"Rauno Ahonen, Johan Aspelin, Toni Harjajärvi","Episode 18 - ""Fearless"" Arto struggles with the trauma of an attempted murder, but won't open up to Liisa. Maikki is not impressed with Teemu, but Jani's juvenile behavior causes her to arrange another date with Teemu. Pekka babys...",N/A,N/A,N/A,N/A,12,tt5066054,N/A
The Wilde Wedding,2017,R,95 min,"Comedy, Romance",Damian Harris,Damian Harris,"Glenn Close, John Malkovich, Patrick Stewart",A retired film star's wedding to her fourth husband brings chaos when their families (and her ex-husband) show up for the festivities.,"English, Portuguese, Spanish, Italian",United States,N/A,5.2,"2,816",tt5066056,31
