,plot,genre
0,"COME AND JOIN A GROUP OF FRENCH SCIENTISTS ON AN UNPRECEDENTED EXPEDITION TO THE MOST REMOTE REGION OF MADAGASCAR. DISCOVER THE LOST, BREATHTAKINGLY BEAUTIFUL REGION OF MAKAY.",DOCUMENTARY
1,"EMILIO ORTIZ IS AND HIS BEST FRIEND BERNA ARE ENTERTAINERS FOR CHILDREN'S BIRTHDAY PARTIES. A EMILIO HAS A PRETTY NEW NEIGHBOR, SOL, WHO IS A BABYSITTER. EMILIO FALLS HEAD OVER HEALS FOR SOL AND DECIDES TO BECOME A BABYSITTER ALONG WITH SOL IN ORDER TO SEE IF HE CAN MAKE HER FALL IN LOVE",COMEDY
2,"HALLIE BENSON IS A SMALL GIRL WITH A BIG HEART. UNFORTUNATELY, HER CREATIVE WAYS OF HELPING OFTEN CREATE A MESS. DAN BENSON DOESN'T COOK, DO HAIR, OR KNOW HOW TO HELP HIS THREE CHILDREN WITHOUT HIS BEAUTIFUL WIFE AND HER UNSHAKABLE FAITH.",DRAMA
3,"SZIRTES'S MASTERFUL EXPERIMENTAL WORK IS A DAZZLING COMPOSITION OF SEVERAL YEARS OF FILMING WITHIN AN INDUSTRIAL MACRO/MICROCOSM, AN ABSTRACT MODEL OF REVOLUTION AND THE BEAUTY OF DAYBREAK.",SHORT
4,A MONTAGE OF IMAGE AND SOUND REPRESENTING THE DREAMS OF A LIGHT SLEEPER WHILST TRAVELLING ON A TRAIN.,SHORT
5,"DIRECTOR DOMINIC ANGERAME WAS HOPING TO STRIKE IT RICH ON HIS HONEYMOON IN RENO. IN A WAY HE DID, SEEING THAT HIS CAMERA WAS FILLED WITH VERY RICH IMAGERY IN RECORDING THIS VISUAL JOURNAL OF HIS BRIEF VISIT TO NEVADA. THE SOUNDTRACK IS A CREATION OF KATIE STEINORTH WHO TRANSLATED THE BUDDHIST CHANT OF ""OM MA NI PAD ME HUM"" INTO THE WORDS ""OH, MONEY BRING ME A HOME.""",SHORT
6,A MOTHER OF TWO MYSTERIOUSLY DISAPPEARS ONE MORNING. HER HUSBAND ISN'T WORRIED AS THEY'VE HAD ROUGH PATCHES; HIS WIFE JUST WANTED TO GIVE HIM A SCARE AND WILL COME HOME SOON. BUT HER LOVER IS CONVINCED SHE HAS BEEN MURDERED BY HER...,DRAMA
7,"ROBERT LANSING STARS AS APRIL SAVAGE, A HOMESTEADER WHOSE WIFE, DAUGHTER AND SON ARE KILLED BY A BAND OF RENEGADES IN 1871. SAVAGE HAS VOWED TO TRACK DOWN THE EIGHT MEN RESPONSIBLE, ONE OF WHOM IS HIS OWN BROTHER, EVEN THOUGH HE KNOWS THEY HAVE FLED TO THE ENDS OF THE EARTH. IN THE PILOT EPISODE, ""HOME, IS AN EMPTY GRAVE,"" SAVAGE DISCOVERS THAT THE POTTER FAMILY HAS MOVED INTO HIS OLD HOMESTEAD AND TOGETHER THEY FIGHT TO SURVIVE WHEN THE HOMESTEAD IS ATTACKED BY BANDITS INCLUDING NOAH DELAHUNTY, ONE OF THE MEN SAVAGE IS TRACKING.",WESTERN
8,USHI MUST MARRY A SUMO WRESTLER BUT SHE DOESN'T WANT TO MARRY HIM. SHE IS GOING TO FIND A HUSBAND TO MARRY IN 8 DAYS SO SHE DOESN'T HAVE TO MARRY SUMO.,COMEDY
9,THE 1930S. YOUNG FISHERMAN OSKARS KLAVA DREAMS OF NEW NETS TO HELP HIM GAIN INDEPENDENCE FROM THE COLLECTOR GAROZA BUT HE LACKS THE TRUST OF OLD FISHERMEN.,DRAMA
10,"EIGHT YEAR OLD FRENCH GIRL, LOLA ARENDT, DISAPPEARS WHILE ON HOLIDAY IN SCOTLAND. UNABLE TO COPE, HER PARENTS MARTIN AND SARAH SEPARATE. TWO YEARS LATER LOLA IS MIRACULOUSLY FOUND ALIVE IN THE EXACT SAME PLACE.",THRILLER
